reflection_answer_english,cleaned_reflection
"We have 86 billion neurons, no wonder we can have psychedelic experiences. The complexity of the brain can produce a limitless spectrum of experience, from depression to enlightenment. This is a thought I had anyway during the dream machine. 
","We have 86 billion neurons; no wonder we can have psychedelic experiences. The complexity of the brain can produce a limitless spectrum of experience, from depression to enlightenment. This is a thought I had anyway during the dream machine."
"the music was both gentle and powerful
",The music was both gentle and powerful.
I had a vision of string theory - that everything in the physical world is connected by invisible string particles and concatetions.,I had a vision of string theory—that everything in the physical world is connected by invisible string particles and concatenations.
"Got many vivid visions, saw lots of colours, my bedroom, old TV shows, videogames, cities...","Got many vivid visions, saw lots of colours, my bedroom, old TV shows, video games, cities..."
It felt like a journey through the cosmos. Travelling at the speed of light as galaxies wizz past ,It felt like a journey through the cosmos. Travelling at the speed of light as galaxies whizz past.
"i thought i was drifting in space . i quite enjoyed the experience. i opened my eyesbut thought the centrelights were mild and not that impressive. the colors i sawwhen my eyes were shut very brief, fleeting and hues, nebulous, no specific patterns","I thought I was drifting in space. I quite enjoyed the experience. I opened my eyes, but thought the centre lights were mild and not that impressive. The colours I saw when my eyes were shut were very brief, fleeting and nebulous hues, no specific patterns."
"Initially, I was interested how others were reacting around me. After a while, I began to relax  and the changing  colours  made me feel safe and happy. The music  conjured up images of Buddists and  other spiritual people ...","Initially, I was interested in how others were reacting around me. After a while, I began to relax, and the changing colours made me feel safe and happy. The music conjured up images of Buddhists and other spiritual people..."
"Vibration in visuals
Centered in body
Aware of sounds 
Mind realty quietened down

",Vibration in visuals. Centered in body. Aware of sounds. Mind really quietened down.
I want one of these at home,I want one of these at home.
Like I am part of something bigger,Like I am part of something bigger.
breathing is hard,Breathing is hard.
places and waves and an animal,Places and waves and an animal.
calm,Calm.
"calming sounds, rising elation, curiosity and connection. an acceptance of being in a stressful time but self jubilation and inspiration.
","Calming sounds, rising elation, curiosity and connection. An acceptance of being in a stressful time, but self-jubilation and inspiration."
helped me with my meditation journey,Helped me with my meditation journey.
"Windows into my busy life. Flashes of my past, seeing my lovely Mum. My partner, Dad, my sister, niece and nephew, my friends.
Punctuated by the audio as it heightened and when it was most loud. At that point I felt I'd left my body - fully immersed in the sound and light.","Windows into my busy life. Flashes of my past, seeing my lovely Mum. My partner, Dad, my sister, niece and nephew, my friends. Punctuated by the audio as it heightened and when it was most loud. At that point, I felt I'd left my body—fully immersed in the sound and light."
"very relaxing
",Very relaxing.
"i didnot exoperience  visuals znd colours. i enjoyed the  colours on ceiling. i arrived stressed so it took zwhile to relax.  i made up stories in my head in  a rrative way imagining being on a spa eship with aliens communicating  via sounds and colours and this was nice escapism from stress




","I did not experience visuals and colours. I enjoyed the colours on the ceiling. I arrived stressed, so it took a while to relax. I made up stories in my head in a narrative way, imagining being on a spaceship with aliens communicating via sounds and colours, and this was nice escapism from stress."
"physically being the music, especially the percussion and the bass. still feeling it now.","Physically being the music, especially the percussion and the bass. Still feeling it now."
x,x
I saw concave and convex and thehot orange os cillating of being insice avolcano,I saw concave and convex and the hot orange oscillating of being inside a volcano.
i love all of it the feling was amazing and i would come back i fell aslep and wake up with fresh mindset ,I love all of it; the feeling was amazing and I would come back. I fell asleep and woke up with a fresh mindset.
"Towardsthe end maybe quarter, i started having really intense visual of ripples and looking up into a tower","Towards the end, maybe a quarter, I started having really intense visuals of ripples and looking up into a tower."
"My mind began to wander and reflect on my dreams and goals in a relaxed way whereas usually i am anxious.
","My mind began to wander and reflect on my dreams and goals in a relaxed way, whereas usually I am anxious."
un cerchio giallo con i contornirossi che si ingrandiva a seconda del mio respiro. un cerchio non uniforme verde e blu chesceva dal uno spazio nero: in quel momento percepivo questo come un simbolo di me stessa che scevo. hoprovato compassione per me stessa e horealizzato il mio  negative self talking. dopo ho visto u luce rosa luminosa ed ho provato un senso di amore e ho capito che i deserve love and to  be loved. quando la musica e diventata intrnsa ho provato ansia e paura e wuesto ha raffiugato la mia depressione ,Un cerchio giallo con i contorni rossi che si ingrandiva a seconda del mio respiro. Un cerchio non uniforme verde e blu che usciva da uno spazio nero: in quel momento percepivo questo come un simbolo di me stessa che scevo. Ho provato compassione per me stessa e ho realizzato il mio negative self-talking. Dopo ho visto una luce rosa luminosa ed ho provato un senso di amore e ho capito che I deserve love and to be loved. Quando la musica è diventata intensa ho provato ansia e paura e questo ha rafforzato la mia depressione.
"I was in a land (not anywhere on Earth) it was another plannet, with animals, but they were not the usual colours - a yellow elephant, a blue gorilla. we then started gently running towards the sea. I turned into a mermaid and watched them on the land as I swam away with turtles, fishes. It was a beautiful experience of love, peace, harmony, togetherness and freedom. We felt so much Love.","I was in a land (not anywhere on Earth); it was another planet, with animals, but they were not the usual colours—a yellow elephant, a blue gorilla. We then started gently running towards the sea. I turned into a mermaid and watched them on the land as I swam away with turtles and fishes. It was a beautiful experience of love, peace, harmony, togetherness and freedom. We felt so much love."
deep relaxation close to falling asleep,"Deep relaxation, close to falling asleep."
"a swivelling vortex of sound
the loneliness of the moon
a jacuzzi of lightness
",A swivelling vortex of sound. The loneliness of the moon. A jacuzzi of lightness.
"felt as though i was moving through a tunnel at first. towards end in darkness, i felt i was being wrapped in metal, in strips 
","Felt as though I was moving through a tunnel at first. Towards the end, in darkness, I felt I was being wrapped in metal, in strips."
My thoughts were about connecting with others,My thoughts were about connecting with others.
"it is like i am in a dream, in a movie
no one there, not even me
just my mind have been to there
flying through a lot of shape, light, space
there is a moment ..
i feel like i was draw back to my body and the environment
my thought has been to somewhere no one have been to
i cant realise have long was that experience
it was so quick
in and then out
i dont feel the time.","It is like I am in a dream, in a movie. No one there, not even me. Just my mind has been there. Flying through a lot of shapes, light, space. There is a moment... I feel like I was drawn back to my body and the environment. My thoughts have been to somewhere no one has been to. I can't realize how long that experience was. It was so quick; in and then out. I don't feel the time."
"physical heaviness
physical lightness
i didn't experience visual or aural so-called  ""hallucitions""
it was relaxing
a bit hot to start","Physical heaviness. Physical lightness. I didn't experience visual or aural so-called ""hallucinations"". It was relaxing. A bit hot to start."
"i began to see the source, the light we all come from, the connection to everything. i could see how we are all just little sensory machines moving through this relm. bumping off sounds colours and emotions. 

The colours behind my closed eyes swapped to the opposite colour or the colour spectrum of that on the screen  ","I began to see the source, the light we all come from, the connection to everything. I could see how we are all just little sensory machines moving through this realm, bumping off sounds, colours and emotions. The colours behind my closed eyes swapped to the opposite colour or the colour spectrum of that on the screen."
Relaxed  just about to sleep when  music or colour chqnged,"Relaxed, just about to sleep when music or colour changed."
"i wish i was here with George and that he created this experience for me
",I wish I were here with George and that he created this experience for me.
"It felt like I was deep in the ocean. It was dark, but also a brilliant blue. I wasn't drowning, instead it felt like that's where I was meant to be. A sense of place akin to home, almost a calling or draw to be submerged away from the world and in my own space where I could float and simply exist without any interruptions.","It felt like I was deep in the ocean. It was dark, but also a brilliant blue. I wasn't drowning; instead, it felt like that's where I was meant to be. A sense of place akin to home, almost a calling or draw to be submerged away from the world and in my own space where I could float and simply exist without any interruptions."
"Anxiety, loneliness, my inner chikd screaming for love, screeching. i felt intensely anxious and a bit suffocated but also knowing that i've got this. I embraced my inner child, allowed it to sulk, scream and cry, coming out with a mix of intense feelings but knowing that I could handle them. The music took me on a whole journey, I was completrly surrounded. Music wasn't just in the space, it was the space. Thick hot air saturated with the soundwaves which I was inhaling. First drowning in that sound, then learning how to swim and enjoy it and heal","Anxiety, loneliness, my inner child screaming for love, screeching. I felt intensely anxious and a bit suffocated but also knowing that I've got this. I embraced my inner child, allowed it to sulk, scream and cry, coming out with a mix of intense feelings but knowing that I could handle them. The music took me on a whole journey; I was completely surrounded. Music wasn't just in the space, it was the space. Thick, hot air saturated with the soundwaves which I was inhaling. First drowning in that sound, then learning how to swim and enjoy it and heal."
an unique experience that teach us how simple could be to recconnect with our primitive way to feel emotions trough sounds and colours,An unique experience that teaches us how simple it could be to reconnect with our primitive way to feel emotions through sounds and colours.
euphoric,Euphoric.
euphoric,Euphoric.
my visual expirence would change a lot with the music. I became more and more relaxed as the music progressed further with its journey.,My visual experience would change a lot with the music. I became more and more relaxed as the music progressed further with its journey.
"Bliss
",Bliss.
"I saw myself flaring, whirling, in water, in the air, becoming one withwhat I floated in  ","I saw myself flaring, whirling, in water, in the air, becoming one with what I floated in."
"very little, occasiol passing thoights of nothing much","Very little, occasional passing thoughts of nothing much."
nothingness complete,Nothingness complete.
"I can't recognise the color actually, but I can feel the light dimming.","I can't recognise the colour actually, but I can feel the light dimming."
"i saw some different landscapes,",I saw some different landscapes.
We were told atthe start that we could keep our eyes open so i did a lot as i thought it was more of a light show so i didnt get the whole idea or impact of impact of flickering lights on closed eyes,"We were told at the start that we could keep our eyes open, so I did a lot as I thought it was more of a light show, so I didn't get the whole idea or impact of flickering lights on closed eyes."
"i felt like my body kept sinking or dropping to another level... into the seat and into itself
",I felt like my body kept sinking or dropping to another level... into the seat and into itself.
"retrospective thoughts.
Looking to the past to alyse my future.",Retrospective thoughts. Looking to the past to analyse my future.
"an experienc like time travelling or as i imagine it.

","An experience like time travelling, or as I imagine it."
I experienced a calmness almost a nothingness but it was relaxed and peacefull and soothing. Almost womb like.,"I experienced a calmness, almost a nothingness, but it was relaxed and peaceful and soothing. Almost womb-like."
"emptiness in my mind, i was consumed by the power of the music.  it filled my mind",Emptiness in my mind; I was consumed by the power of the music. It filled my mind.
i tried hard to immerse into the dreamstate but failed. i did not see anything except for the flickering lights. i think i ought to experience it once  more to see if it changes.,I tried hard to immerse myself into the dream state but failed. I did not see anything except for the flickering lights. I think I ought to experience it once more to see if it changes.
"I saw a lot of animals, ones which I used to not like like rreptiles but this time i liked them and they seemed adorable. I also felt like i was dreaming of random objects and my started to create stories like if does when i am dreaming.it felt like a drug trip at some points. And it also felt like being inside an ocean.","I saw a lot of animals, ones which I used to not like, like reptiles, but this time I liked them and they seemed adorable. I also felt like I was dreaming of random objects and my mind started to create stories like it does when I am dreaming. It felt like a drug trip at some points. And it also felt like being inside an ocean."
"i felt like being at water first, then in the womb, then the birth and the light of this world, also at some point being in a bees panel","I felt like being at water first, then in the womb, then the birth and the light of this world, also at some point being in a bee's panel."
nothing,Nothing.
"I had various flashing images of my memories, random events and people in my life kept popping  up, nothing lingered but lots of individual things happened in the memories.
I also felt numb and tingly throughout it at different points. I felt like my body was light and fuzzy like i wasnt sitting on anything.","I had various flashing images of my memories; random events and people in my life kept popping up; nothing lingered, but lots of individual things happened in the memories. I also felt numb and tingly throughout it at different points. I felt like my body was light and fuzzy, like I wasn't sitting on anything."
"At first , hearing gongs i saw myself in sammi ling's buddhist retreat  ans imagined myself totally relaxing and at peace.  As the music pace and volume increased, i saw horses galloping at increasing speed and zt some point, i was on a horse too. As the pace gathefed further, i was on a 
train, speed ing tgrough countryside , then through time and space until the muic reach a climax. I then found myself returning to the world and countryside and gradually getting back to normal everyday life.  I had no sense of tge grating sounds towards the end exceot they were the colour   turquoise which gradualky turned to black and nothingness. ","At first, hearing gongs, I saw myself in Sammi Ling's Buddhist retreat and imagined myself totally relaxing and at peace. As the music's pace and volume increased, I saw horses galloping at increasing speed and, at some point, I was on a horse too. As the pace gathered further, I was on a train, speeding through countryside, then through time and space until the music reached a climax. I then found myself returning to the world and countryside and gradually getting back to normal everyday life. I had no sense of the grating sounds towards the end except they were the colour turquoise, which gradually turned to black and nothingness."
i saw a starry night and being in blue warm water and a blue butterfly,"I saw a starry night and being in blue, warm water and a blue butterfly."
"A sense of ture, the ocean and the beach, sunrise and sunsets and futher along into space and filly back to the deepest ocean. ","A sense of truth, the ocean and the beach, sunrise and sunsets, and further along into space and finally back to the deepest ocean."
it was near impossible to keep eyes open,It was near impossible to keep my eyes open.
"i had a very nice snooze thank you
","I had a very nice snooze, thank you."
the moment i'll die i want to feel this,"The moment I die, I want to feel this."
"the feeling of freedom, of being in time and space. i watched the room rise and fall with the music. i felt the weight of the people in the room. i felt connected.","The feeling of freedom, of being in time and space. I watched the room rise and fall with the music. I felt the weight of the people in the room. I felt connected."
more scope mentally acceptance and peace,"More scope, mental acceptance, and peace."
"Blue
A bird flying
coming  closer
calm and at peace
a baby
a smiling relative.

the thought of this not working
but in the dream
in another place
","Blue.
A bird flying
coming closer
calm and at peace
a baby
a smiling relative.

The thought of this not working
but in the dream
in another place."
I saw a grey pulsing heart float across my mind,I saw a grey pulsing heart float across my mind.
"i was everywhere... I saw my partner's nose, her eyes, her glasses, everything like a molecule of air given eyes. I saw everything, the universe, the multiverse, all of time, and emerged in someone's sleeve. Everything packed into a tiny insignificant thing.","I was everywhere... I saw my partner's nose, her eyes, her glasses, everything like a molecule of air given eyes. I saw everything, the universe, the multiverse, all of time, and emerged in someone's sleeve. Everything packed into a tiny, insignificant thing."
woman next to me was sniffing so had to move and was difficult to get back in,"Woman next to me was sniffing, so I had to move and it was difficult to get back in."
Interested to  experience different darkness when different colours were projected.,Interested to experience different darkness when different colours were projected.
strange lights and sense of relaxation. i was interested to see what would happen next!,Strange lights and a sense of relaxation. I was interested to see what would happen next!
"had my eyes shut most of the time, was aware of colours changing",Had my eyes shut most of the time; was aware of colours changing.
"i saw a lot of imagery and colours, especially images of water, ripples of water, snowscapes, drops of water falling. also abstract forms and pink and red colours.","I saw a lot of imagery and colours, especially images of water, ripples of water, snowscapes, drops of water falling. Also abstract forms and pink and red colours."
pleasant but should i be seeim something  unexpected,"Pleasant, but should I be seeing something unexpected?"
"I saw past experiences and reflected on my choices. i saw new scenes and reflected on opportunities.
",I saw past experiences and reflected on my choices. I saw new scenes and reflected on opportunities.
